date,rice,wheat_flour,cereal_prep,starch,veg_preserved,fruit_preserved,fish_canned,meat_canned,milk,veg_oil_soft,veg_oil_other,sugar,spices,edible_prep,coffee,beverages_nonalc,soap,paper_goods,pest_control,apparel,apparel_mens,apparel_womens,footwear,furniture_bedding,linens,toys_baby
2014-01-01,109.8,94.989,80.47,85.882,68.496,78.444,90.891,86.794,101.134,83.411,87.892,78.305,108.196,92.3,87.502,95.234,74.374,96.804,107.061,102.651,93.725,92.528,95.779,75.493,97.818,107.675
2014-02-01,107.833,94.723,80.4,85.409,67.865,78.253,91.967,86.761,101.645,82.443,90.955,79.28,108.089,92.316,84.282,95.224,74.613,96.802,106.899,103.09,93.676,92.657,97.246,75.612,97.615,107.646
2014-03-01,106.092,94.409,80.42,86.176,68.024,78.947,91.967,86.898,102.097,82.687,97.613,77.578,108.691,92.387,83.832,95.399,74.238,96.773,106.917,100.762,93.657,89.344,96.019,75.601,97.75,107.65
2014-04-01,105.136,94.142,80.424,86.012,67.815,79.027,91.269,86.814,103.414,82.403,93.379,74.659,110.028,92.25,83.821,95.334,73.873,96.426,106.587,101.675,93.433,88.877,97.019,75.609,97.182,107.592
2014-05-01,103.835,94.203,80.443,85.859,67.446,78.851,90.509,86.744,103.628,81.711,91.503,75.318,110.012,92.095,83.131,95.077,74.0,96.461,106.475,101.133,93.207,90.523,96.152,75.681,97.35,107.572
2014-06-01,103.411,93.928,80.378,85.931,67.455,78.784,90.509,86.809,102.438,80.897,87.78,75.821,110.522,91.864,83.2,95.067,73.683,96.565,106.465,102.178,93.376,89.372,96.003,75.682,97.533,107.571
2014-07-01,101.425,94.646,80.346,85.567,67.854,78.736,90.509,87.064,99.73,80.68,86.251,75.011,113.244,91.668,84.195,95.658,73.311,96.327,106.227,101.106,92.001,89.912,95.58,75.768,97.003,107.529
2014-08-01,101.247,94.471,80.331,85.568,68.163,78.77,90.287,87.184,98.624,80.005,79.547,71.416,114.668,91.789,84.562,95.66,73.567,96.404,106.384,101.163,92.228,90.486,95.514,77.971,96.769,107.556
2014-09-01,103.08,95.005,80.368,86.225,68.577,78.857,90.695,87.572,97.896,79.643,77.158,72.834,119.58,92.069,84.824,95.689,73.592,96.466,106.788,100.904,92.53,90.921,95.532,78.049,97.108,107.628
2014-10-01,103.795,94.432,80.411,86.525,68.83,78.923,90.309,87.669,96.64,78.972,78.944,72.584,118.663,92.194,85.287,95.729,73.814,96.018,107.098,99.651,92.86,89.275,95.723,78.003,97.351,107.682
